cert,fail_date
26748,1999-12-10
27415,1999-11-22
18147,1999-09-10
6771,1999-09-01
25272,1999-07-09
32491,1999-07-09
13300,1999-04-23
17200,1999-03-26
2174,1998-08-07
91189,1998-07-23
14758,1998-04-09
18338,1997-11-21
27072,1996-08-16
29236,1996-08-09
26431,1996-07-12
3382,1996-06-14
18662,1996-05-31
27525,1996-03-08
23319,1995-07-28
26187,1995-07-28
23751,1995-05-19
29781,1995-05-05
31899,1995-04-28
33190,1995-03-31
3480,1995-03-03
24754,1995-01-20
32374,1994-12-16
90230,1994-10-21
3432,1994-08-26
20637,1994-08-12
22796,1994-07-29
23157,1994-07-29
21922,1994-07-15
23448,1994-07-08
20442,1994-07-07
26909,1994-06-10
31484,1994-06-03
27027,1994-05-19
18332,1994-05-06
25678,1994-04-14
19367,1994-04-01
26374,1993-11-05
22815,1993-10-29
24452,1993-10-21
26995,1993-10-15
8446,1993-10-14
24654,1993-09-24
32229,1993-09-24
27174,1993-09-17
32136,1993-09-10
23135,1993-08-27
18220,1993-08-25
32228,1993-08-13
32728,1993-08-12
5592,1993-07-29
24757,1993-07-22
26488,1993-07-09
26495,1993-07-09
16335,1993-07-02
27268,1993-07-02
3733,1993-07-01
24846,1993-07-01
27307,1993-06-25
21560,1993-06-18
23183,1993-06-18
17963,1993-06-10
29671,1993-06-04
18257,1993-05-21
23796,1993-05-21
32731,1993-05-20
24653,1993-05-06
25055,1993-04-30
14787,1993-04-29
24676,1993-04-15
23581,1993-04-08
19444,1993-04-02
24111,1993-04-02
24564,1993-04-02
27773,1993-04-02
11890,1993-04-01
3295,1993-03-18
32238,1993-03-16
23631,1993-03-04
7135,1993-02-26
5499,1993-02-25
17118,1993-02-05
6290,1993-01-29
29892,1993-01-29
32484,1993-01-29
33186,1993-01-29
24320,1993-01-22
4378,1992-12-18
17428,1992-12-18
15750,1992-12-11
16977,1992-12-11
19725,1992-12-11
25306,1992-12-11
9015,1992-12-10
32244,1992-12-08
18245,1992-12-04
21996,1992-12-04
26440,1992-12-04
30080,1992-12-04
30217,1992-12-04
32339,1992-12-04
15886,1992-11-20
27660,1992-11-20
28394,1992-11-20
29768,1992-11-20
17085,1992-11-13
21199,1992-11-13
22073,1992-11-13
25721,1992-11-13
26656,1992-11-13
30655,1992-11-13
27456,1992-11-06
30159,1992-11-06
1722,1992-10-30
3093,1992-10-30
3120,1992-10-30
3227,1992-10-30
3316,1992-10-30
3318,1992-10-30
3344,1992-10-30
3374,1992-10-30
5506,1992-10-30
5562,1992-10-30
11914,1992-10-30
13702,1992-10-30
15721,1992-10-30
16524,1992-10-30
16560,1992-10-30
17299,1992-10-30
17343,1992-10-30
20029,1992-10-30
21190,1992-10-30
24723,1992-10-30
28218,1992-10-30
31543,1992-10-21
15579,1992-10-16
22689,1992-10-16
31418,1992-10-16
28998,1992-10-09
16146,1992-10-02
22850,1992-10-02
27160,1992-10-02
26844,1992-09-25
27416,1992-09-25
27470,1992-09-24
21181,1992-09-18
90266,1992-09-18
5596,1992-09-10
15979,1992-08-28
18066,1992-08-28
32388,1992-08-28
28078,1992-08-21
90257,1992-08-21
90307,1992-08-14
20396,1992-08-07
32468,1992-08-07
18966,1992-07-31
29418,1992-07-24
26676,1992-07-23
13383,1992-07-17
31931,1992-07-17
32444,1992-07-17
28387,1992-07-10
29724,1992-07-10
30091,1992-07-10
29234,1992-07-06
6251,1992-06-26
25918,1992-06-26
27402,1992-06-26
30285,1992-06-26
25063,1992-06-25
26420,1992-06-25
28250,1992-06-19
29541,1992-06-19
32452,1992-06-19
16017,1992-06-12
16033,1992-06-12
21082,1992-06-12
21997,1992-06-12
29084,1992-06-12
29855,1992-06-12
31452,1992-06-12
27728,1992-06-05
28847,1992-06-05
29595,1992-06-05
32389,1992-06-05
14909,1992-06-04
26895,1992-06-04
28867,1992-06-04
26864,1992-05-29
27570,1992-05-29
27001,1992-05-22
29650,1992-05-21
8158,1992-05-15
26901,1992-05-08
31664,1992-05-08
9380,1992-05-07
24242,1992-05-07
24863,1992-05-07
26613,1992-05-07
32742,1992-05-07
25059,1992-05-04
21315,1992-05-01
23865,1992-04-24
26971,1992-04-24
27002,1992-04-24
27853,1992-04-24
32186,1992-04-24
90170,1992-04-24
29222,1992-04-10
31768,1992-04-10
32639,1992-04-10
20413,1992-04-09
23860,1992-04-09
22414,1992-04-03
26447,1992-04-03
29584,1992-04-03
31453,1992-04-03
27146,1992-03-31
17778,1992-03-27
24633,1992-03-27
30826,1992-03-27
20284,1992-03-26
32762,1992-03-26
23289,1992-03-20
23855,1992-03-20
10668,1992-03-19
23633,1992-03-19
24793,1992-03-19
19801,1992-03-16
15000,1992-03-13
29158,1992-03-13
29530,1992-03-13
24601,1992-03-12
30852,1992-03-12
27092,1992-03-06
23455,1992-02-28
26364,1992-02-28
28588,1992-02-28
30999,1992-02-28
31238,1992-02-28
32383,1992-02-28
25907,1992-02-27
15897,1992-02-21
25882,1992-02-21
27309,1992-02-21
90226,1992-02-14
16377,1992-02-07
27213,1992-02-07
30265,1992-02-07
25146,1992-02-06
26945,1992-01-31
27000,1992-01-31
29518,1992-01-31
30582,1992-01-31
18675,1992-01-30
25878,1992-01-30
7052,1992-01-24
16013,1992-01-24
26468,1992-01-24
32210,1992-01-24
11138,1992-01-23
26954,1992-01-16
18720,1992-01-10
31024,1992-01-10
31231,1992-01-10
32258,1992-01-10
26493,1992-01-03
21113,1991-12-20
2599,1991-12-13
17048,1991-12-13
26241,1991-12-13
27151,1991-12-13
31724,1991-12-13
26585,1991-12-12
25128,1991-12-06
24660,1991-12-04
26274,1991-11-26
28295,1991-11-22
28446,1991-11-22
30324,1991-11-22
30665,1991-11-22
16927,1991-11-15
12124,1991-11-14
18239,1991-11-14
25898,1991-11-14
32143,1991-11-08
32543,1991-11-08
19519,1991-11-07
30027,1991-11-01
15514,1991-10-31
22824,1991-10-30
26695,1991-10-29
10413,1991-10-25
18317,1991-10-25
26561,1991-10-25
25837,1991-10-24
17822,1991-10-18
24565,1991-10-18
27373,1991-10-18
29342,1991-10-16
32615,1991-10-16
32090,1991-10-13
17189,1991-10-11
28763,1991-10-11
29191,1991-10-11
31990,1991-10-11
11486,1991-10-10
15952,1991-10-10
17178,1991-10-10
17237,1991-10-10
17879,1991-10-10
26700,1991-10-10
27287,1991-10-10
28946,1991-10-10
20027,1991-10-03
26815,1991-10-03
11259,1991-10-02
26843,1991-09-27
27633,1991-09-27
27867,1991-09-27
27962,1991-09-27
28742,1991-09-27
29092,1991-09-27
29460,1991-09-27
29563,1991-09-27
32400,1991-09-27
24502,1991-09-20
26946,1991-09-20
3575,1991-09-19
16944,1991-09-19
28889,1991-09-19
19591,1991-09-16
26924,1991-09-13
28177,1991-09-13
32224,1991-09-13
18242,1991-09-06
23679,1991-09-06
29411,1991-09-06
32023,1991-09-06
32454,1991-09-06
26273,1991-08-30
26792,1991-08-30
27862,1991-08-30
30961,1991-08-30
31588,1991-08-30
90228,1991-08-30
5519,1991-08-29
14804,1991-08-29
27657,1991-08-23
27693,1991-08-23
27842,1991-08-23
14421,1991-08-22
15379,1991-08-22
22016,1991-08-16
27463,1991-08-16
32249,1991-08-16
32252,1991-08-16
2531,1991-08-09
18256,1991-08-09
21605,1991-08-09
22908,1991-08-09
28041,1991-08-09
28587,1991-08-09
29041,1991-08-09
27618,1991-08-02
32438,1991-08-02
22325,1991-07-26
27157,1991-07-26
29498,1991-07-26
32301,1991-07-26
3283,1991-07-25
20960,1991-07-19
26331,1991-07-19
30010,1991-07-19
30545,1991-07-19
32494,1991-07-19
23882,1991-07-12
25592,1991-07-12
27825,1991-07-12
29295,1991-07-12
31800,1991-07-12
32223,1991-07-12
32566,1991-07-09
17795,1991-06-28
28786,1991-06-28
30758,1991-06-28
26659,1991-06-21
32179,1991-06-21
30538,1991-06-14
31276,1991-06-14
17681,1991-06-13
19012,1991-06-13
23039,1991-06-13
27274,1991-06-13
28161,1991-06-07
90310,1991-06-07
25142,1991-06-06
10544,1991-05-31
15963,1991-05-31
28019,1991-05-31
31168,1991-05-31
31274,1991-05-31
31363,1991-05-31
32126,1991-05-31
32592,1991-05-31
20753,1991-05-24
27380,1991-05-24
31436,1991-05-24
16544,1991-05-23
29202,1991-05-23
6499,1991-05-22
15404,1991-05-17
22504,1991-05-17
29002,1991-05-17
29795,1991-05-17
19935,1991-05-16
27131,1991-05-16
18960,1991-05-10
20210,1991-05-10
27418,1991-05-10
28265,1991-05-10
28523,1991-05-10
